mpicxx -O3 -DUSE_HIP -w src/task1_shared.cu -o build/task1
mpicxx -O3 -DUSE_HIP -w src/task2.cu -o build/task2
Running task1...
Iteration 100, Residual: 5.129998e+05, Error: 1.324026e+03
Iteration 200, Residual: 3.422897e+05, Error: 1.254687e+03
Iteration 300, Residual: 2.765329e+05, Error: 1.195058e+03
Iteration 400, Residual: 2.393830e+05, Error: 1.141336e+03
Iteration 500, Residual: 2.143177e+05, Error: 1.091959e+03
Iteration 600, Residual: 1.955938e+05, Error: 1.046070e+03
Iteration 700, Residual: 1.806760e+05, Error: 1.003123e+03
Iteration 800, Residual: 1.682646e+05, Error: 9.627357e+02
Iteration 900, Residual: 1.576201e+05, Error: 9.246238e+02
Iteration 1000, Residual: 1.482880e+05, Error: 8.885629e+02
Iteration 1100, Residual: 1.399714e+05, Error: 8.543715e+02
Iteration 1200, Residual: 1.324666e+05, Error: 8.218979e+02
Iteration 1300, Residual: 1.256286e+05, Error: 7.910129e+02
Iteration 1400, Residual: 1.193501e+05, Error: 7.616041e+02
Iteration 1500, Residual: 1.135499e+05, Error: 7.335730e+02
Iteration 1600, Residual: 1.081646e+05, Error: 7.068317e+02
Iteration 1700, Residual: 1.031438e+05, Error: 6.813014e+02
Iteration 1800, Residual: 9.844687e+04, Error: 6.569104e+02
Iteration 1900, Residual: 9.404012e+04, Error: 6.335939e+02
Iteration 2000, Residual: 8.989546e+04, Error: 6.112919e+02
Iteration 2100, Residual: 8.598911e+04, Error: 5.899496e+02
Iteration 2200, Residual: 8.230067e+04, Error: 5.695161e+02
Iteration 2300, Residual: 7.881249e+04, Error: 5.499440e+02
Iteration 2400, Residual: 7.550913e+04, Error: 5.311896e+02
Iteration 2500, Residual: 7.237700e+04, Error: 5.132116e+02
Iteration 2600, Residual: 6.940401e+04, Error: 4.959717e+02
Iteration 2700, Residual: 6.657938e+04, Error: 4.794338e+02
Iteration 2800, Residual: 6.389339e+04, Error: 4.635640e+02
Iteration 2900, Residual: 6.133726e+04, Error: 4.483306e+02
Iteration 3000, Residual: 5.890302e+04, Error: 4.337033e+02
Iteration 3100, Residual: 5.658338e+04, Error: 4.196539e+02
Iteration 3200, Residual: 5.437168e+04, Error: 4.061556e+02
Iteration 3300, Residual: 5.226177e+04, Error: 3.931831e+02
Iteration 3400, Residual: 5.024799e+04, Error: 3.807122e+02
Iteration 3500, Residual: 4.832510e+04, Error: 3.687205e+02
Iteration 3600, Residual: 4.648824e+04, Error: 3.571862e+02
Iteration 3700, Residual: 4.473287e+04, Error: 3.460889e+02
Iteration 3800, Residual: 4.305478e+04, Error: 3.354093e+02
Iteration 3900, Residual: 4.145001e+04, Error: 3.251288e+02
Iteration 4000, Residual: 3.991489e+04, Error: 3.152300e+02
Iteration 4100, Residual: 3.844594e+04, Error: 3.056962e+02
Iteration 4200, Residual: 3.703991e+04, Error: 2.965115e+02
Iteration 4300, Residual: 3.569374e+04, Error: 2.876609e+02
Iteration 4400, Residual: 3.440455e+04, Error: 2.791301e+02
Iteration 4500, Residual: 3.316962e+04, Error: 2.709052e+02
Iteration 4600, Residual: 3.198638e+04, Error: 2.629734e+02
Iteration 4700, Residual: 3.085240e+04, Error: 2.553223e+02
Iteration 4800, Residual: 2.976540e+04, Error: 2.479400e+02
Iteration 4900, Residual: 2.872318e+04, Error: 2.408152e+02
Iteration 5000, Residual: 2.772370e+04, Error: 2.339373e+02
Iteration 5100, Residual: 2.676500e+04, Error: 2.272959e+02
Iteration 5200, Residual: 2.584523e+04, Error: 2.208814e+02
Iteration 5300, Residual: 2.496262e+04, Error: 2.146845e+02
Iteration 5400, Residual: 2.411549e+04, Error: 2.086962e+02
Iteration 5500, Residual: 2.330227e+04, Error: 2.029080e+02
Iteration 5600, Residual: 2.252144e+04, Error: 1.973120e+02
Iteration 5700, Residual: 2.177155e+04, Error: 1.919004e+02
Iteration 5800, Residual: 2.105124e+04, Error: 1.866658e+02
Iteration 5900, Residual: 2.035920e+04, Error: 1.816012e+02
Iteration 6000, Residual: 1.969418e+04, Error: 1.766999e+02
Iteration 6100, Residual: 1.905501e+04, Error: 1.719555e+02
Iteration 6200, Residual: 1.844055e+04, Error: 1.673618e+02
Iteration 6300, Residual: 1.784972e+04, Error: 1.629132e+02
Iteration 6400, Residual: 1.728150e+04, Error: 1.586038e+02
Iteration 6500, Residual: 1.673492e+04, Error: 1.544285e+02
Iteration 6600, Residual: 1.620903e+04, Error: 1.503822e+02
Iteration 6700, Residual: 1.570294e+04, Error: 1.464599e+02
Iteration 6800, Residual: 1.521581e+04, Error: 1.426571e+02
Iteration 6900, Residual: 1.474681e+04, Error: 1.389692e+02
